iter	RMSE
0	469.693094
1	468.5458821
2	467.439323
3	466.3563064
4	465.4874811
5	464.4920709
6	463.3660589
7	462.2881281
8	461.2720754
9	460.4699937
10	459.4153346
11	458.3509037
12	457.3682491
13	456.3634466
14	455.5532121
15	454.6829688
16	453.8545538
17	452.8545003
18	451.8873189
19	450.9476057
20	450.0532099
21	449.266195
22	448.3879255
23	447.4203354
24	446.6860735
25	445.8068527
26	444.9623959
27	444.2235539
28	443.401006
29	442.5651718
30	441.8602478
31	441.1758404
32	440.4240113
33	439.8252165
34	439.1103347
35	438.3760382
36	437.6933973
37	437.0153615
38	436.3033587
39	435.6860031
40	435.1111787
41	434.4535421
42	433.7852354
43	433.2973887
44	432.583283
45	431.8887197
46	431.2312803
47	430.7057405
48	430.1613466
49	429.6402279
50	428.9957382
51	428.4595888
52	427.9280085
53	427.368803
54	426.8930656
55	426.3407516
56	425.9189653
57	425.4685736
58	424.9713442
59	424.5283792
60	424.0398097
61	423.4855543
62	423.1071518
63	422.5806543
64	422.1644549
65	421.7733579
66	421.3121834
67	420.8483848
68	420.4396248
69	420.0167155
70	419.614058
71	419.1454677
72	418.7813558
73	418.4294723
74	417.9939405
75	417.541559
76	417.1949139
77	416.8509077
78	416.5703591
79	416.1237354
80	415.7715118
81	415.4696187
82	415.0406784
83	414.6266794
84	414.177744
85	413.8675991
86	413.5720186
87	413.2599254
88	412.9697835
89	412.6423575
90	412.3572774
91	412.0903026
92	411.6971022
93	411.486152
94	411.2011697
95	410.9109179
96	410.6672945
97	410.3365435
98	410.025223
99	409.7966408
100	409.5067806
101	409.2718197
102	409.0359245
103	408.7755616
104	408.476229
105	408.2205297
106	407.9154633
107	407.6798159
108	407.3336051
109	407.092909
110	406.8816341
111	406.567847
112	406.3961582
113	406.1742448
114	405.9757765
115	405.7567475
116	405.5313167
117	405.3117627
118	405.0347486
119	404.8240236
120	404.6823509
121	404.5354115
122	404.3091731
123	404.124923
124	403.8163829
125	403.6045572
126	403.4014336
127	403.2395037
128	403.0932725
129	402.8222864
130	402.5818066
131	402.4118687
132	402.1677951
133	401.9252127
134	401.7461219
135	401.5314724
136	401.3664447
137	401.2338745
138	401.1052293
139	400.9412582
140	400.8073248
141	400.6073613
142	400.4806168
143	400.3267871
144	400.1489852
145	399.9917385
146	399.7816966
147	399.6104213
148	399.4371985
149	399.3623962
150	399.1791077
151	399.0026934
152	398.7922313
153	398.5912676
154	398.4487947
155	398.2137436
156	398.0923738
157	397.9187081
158	397.7455242
159	397.5812729
160	397.3949334
161	397.2643112
162	397.1466726
163	397.0196002
164	396.8219885
165	396.649722
166	396.4948448
167	396.3557574
168	396.2224902
169	396.0845881
170	395.9558829
171	395.8398586
172	395.6966448
173	395.5468921
174	395.4243197
175	395.3072497
176	395.1189942
177	394.9629329
178	394.8157626
179	394.7097478
180	394.4634811
181	394.3281204
182	394.2202512
183	394.1097156
184	393.9591083
185	393.8531504
186	393.6967083
187	393.6354526
188	393.4324053
189	393.3289186
190	393.2039765
191	393.0329835
192	392.9392594
193	392.8325286
194	392.6463798
195	392.5096297
196	392.4258744
197	392.3203392
198	392.1907325
199	392.0230001
200	391.9077045
201	391.8060768
202	391.7055223
203	391.5767197
204	391.4787712
205	391.2879579
206	391.1628693
207	390.9908514
208	390.9176864
209	390.7906575
210	390.6813103
211	390.5713522
212	390.457698
213	390.3422334
214	390.2589278
215	390.139823
216	390.0038525
217	389.8585855
218	389.7241055
219	389.6099118
220	389.5316909
221	389.3566844
222	389.2373161
223	389.0801661
224	389.0124673
225	388.8505128
226	388.761148
227	388.6319832
228	388.4921737
229	388.4168538
230	388.3285694
231	388.2170827
232	388.0509038
233	387.8997058
234	387.7867062
235	387.6857194
236	387.5785271
237	387.4527032
238	387.3317966
239	387.2270002
240	387.1551104
241	387.0700767
242	386.9777129
243	386.8216862
244	386.7411748
245	386.6313147
246	386.5589303
247	386.4426852
248	386.3455672
249	386.2910447
250	386.208058
251	386.0942758
252	385.9982757
253	385.9346776
254	385.8434359
255	385.7864832
256	385.7156935
257	385.6326215
258	385.5564922
259	385.4322802
260	385.2974209
261	385.2146627
262	385.1605616
263	385.0017371
264	384.9395727
265	384.8374766
266	384.7413223
267	384.6488958
268	384.5749234
269	384.49637
270	384.32105
271	384.2249083
272	384.1662322
273	384.0488475
274	383.9792757
275	383.9017396
276	383.8212444
277	383.7365344
278	383.675208
279	383.5309395
280	383.3911357
281	383.332419
282	383.2049653
283	383.1471405
284	383.0659243
285	382.9621097
286	382.8537193
287	382.7563344
288	382.6725845
289	382.6023256
290	382.5446697
291	382.391424
292	382.2869086
293	382.2135051
294	382.1578586
295	382.0637613
296	381.9743522
297	381.8884027
298	381.8003371
299	381.7363285
300	381.6277535
301	381.5720167
302	381.5173864
303	381.4359123
304	381.3752626
305	381.3197222
306	381.1770404
307	381.1298391
308	381.0145898
309	380.9189466
310	380.865584
311	380.7204308
312	380.6473847
313	380.5681727
314	380.4969769
315	380.444367
316	380.3566716
317	380.2686275
318	380.1784572
319	380.1128368
320	380.0349963
321	379.9851146
322	379.8844235
323	379.8153104
324	379.6853093
325	379.5928796
326	379.5150771
327	379.4212362
328	379.3151958
329	379.2729472
330	379.2160366
331	379.1592582
332	379.0625814
333	378.9683758
334	378.8992806
335	378.8566864
336	378.7650366
337	378.6916308
338	378.6263298
339	378.5217363
340	378.3943281
341	378.3589265
342	378.2492833
343	378.2068539
344	378.1620907
345	378.0959338
346	377.9846783
347	377.8931485
348	377.779465
349	377.703294
350	377.6712089
351	377.607349
352	377.5538132
353	377.4718409
354	377.3793916
355	377.3318297
356	377.2261202
357	377.1097437
358	377.0336984
359	376.9582228
360	376.8830629
361	376.82824
362	376.7603171
363	376.6472338
364	376.5585166
365	376.492064
366	376.4236458
367	376.3534879
368	376.3165738
369	376.2179515
370	376.1721515
371	376.1092105
372	376.0558044
373	375.9825337
374	375.9066722
375	375.8675531
376	375.7786894
377	375.7186573
378	375.7004299
379	375.6596722
380	375.619904
381	375.5806835
382	375.5031565
383	375.4548265
384	375.3510853
385	375.2613481
386	375.1492586
387	375.0730176
388	375.0188699
389	374.9778157
390	374.9382898
391	374.8391321
392	374.7447589
393	374.7041164
394	374.6076868
395	374.531617
396	374.429639
397	374.3883982
398	374.3371876
399	374.2373157
400	374.1666629
401	374.0937777
402	373.9776476
403	373.8457721
404	373.8065142
405	373.7380201
406	373.6692377
407	373.614495
408	373.5324044
409	373.4722024
410	373.4500878
411	373.422103
412	373.3645649
413	373.3230421
414	373.2793468
415	373.2021039
416	373.1338617
417	373.0251084
418	372.9569804
419	372.8555619
420	372.8192603
421	372.7541815
422	372.7361545
423	372.6736901
424	372.634153
425	372.5891642
426	372.4914865
427	372.4514778
428	372.4274711
429	372.3819841
430	372.3470538
431	372.2497131
432	372.2223549
433	372.1993772
434	372.1613697
435	372.0859582
436	372.0471407
